Rank,Wallet Address,City Rank Points,Prime Roll Points,Met Deposit Points,Fuel Tank Points,Hood Boost Points,Total Points
32,0xc2a29ea10e3560aeccfa107dd80a51c880ac1886,11769,0,0,720,6000,18489
33,0xf758536988f95aa278a872031c3068c61e302cc5,11286,150,0,2648,4000,18084
34,0xfda5f22a28753d6c4dc74da4e522caa04234c606,11761,0,0,0,6000,17761
35,0xfd2446c4dee1a1cf8876286c54b9abbc4a572231,4328,7250,0,2000,4000,17578
36,0x78b8d3f5edd31254e068401416001eb1be48aca4,5180,4150,0,0,8000,17330
37,0xcd3ea9baee068854472d2cd274464fdd9025f87b,5911,0,0,3300,8000,17211
38,0xcf378dfd582b66aa8b6025078f0ab3fab39c67f8,8546,0,226,0,8000,16772
39,0x085729eec537e05e173dd919939980aa652f8c2f,9386,0,0,1355,6000,16741
40,0xab974ac16d4e909aa9ff2e4b5edeffb0e73cdf4c,9049,750,0,2890,4000,16689
41,0xebe7dc01e9cb3af68f940e8fbc0f752697617f82,9602,0,0,900,6000,16502
42,0xe1d1ee2e8ed4f96b104be09b83d3f70a5f064dd1,12962,550,0,485,2500,16497
43,0x7d82ae7c8ad76f0ef821606138f389a21316c664,8067,350,0,0,8000,16417
44,0x506c4c4325b133b9dc277b00b58b01c606ac6ddd,5403,0,0,1000,10000,16403
45,0x86bb380114eb2137a73d8e6850400179d3da0e15,5241,0,0,2617,8000,15858
46,0x967c6ac377f2ec1e181df8363d28ddcaaaad0d40,2164,450,0,1215,12000,15829
47,0xce96f07e7254e914905f1b51d293da7936028651,5677,1250,0,616,8000,15543
48,0x5a17acdd2fe9ed469755c06a978d961f72776c46,5578,4800,0,800,4000,15178
49,0x37540857e19dfd92d51dfedbce418ac48d88efc4,11924,50,0,657,2500,15131
50,0xc366762a16e398825b08a8a21332dfd510ff5f80,6914,0,0,0,8000,14914
51,0x2f67a24aa434ea31f72e5b4930a788375dafe615,10481,0,0,383,4000,14864
52,0x2105751d4ff59e3ef29dbeb24c6069b9a5a3721d,8949,1500,0,300,4000,14749
53,0x93942d94425a487c3d1fcf3d89714b8606ca39b7,346,0,1868,8500,4000,14714
54,0x2b85fa7c882d47f6d4f982134eb6bc668c068b91,8315,0,307,0,6000,14622
55,0xda6620ac5b88470686b86a7310607d578dfd0f31,11003,0,0,1041,2500,14544
56,0x4b2c0b9bd6c19e34d980ac82edd9f9b846e26c6f,9709,0,0,700,4000,14409
57,0xe8a95dc1b7b2e1f503c3cdd2016541b135c97fec,10394,0,0,0,4000,14394
58,0xa8ca10a7fd38ca11e534018f3fac9796a426a397,7143,1350,0,1750,4000,14243
59,0x15b45ef34bfef22cb617bd05af99476d1d284f10,11659,0,0,0,2500,14159
60,0x63fee0fd3c4a174939b4a08df33392a3f3d3ee24,8909,950,0,300,4000,14159
61,0x103f95e213b51c97437659e9b8fee3b47a8aa53a,5617,0,0,400,8000,14017
62,0xa8aad55c115a9213d790e11ad90a60f3540fee72,7331,250,0,100,6000,13681
63,0x263371fca6cc06139d7f67d6fd69757997319183,6768,0,221,500,6000,13489
64,0x9be313209be2bf005942d4ddbafececde5f18b30,10963,0,0,0,2500,13463
65,0x0de34c2eada893485c116df0d10332c6e5796351,1691,650,0,800,10000,13141
66,0xd0ed6e7fc982ef10f443b781d2ac518ac6f8830a,8242,0,0,883,4000,13125
67,0x0abc78c93bfa2c94a097f793de3c6ab10a6fb7e6,2959,0,0,0,10000,12959
68,0xbcae8baa92e717d608e6d266df61d785b6f5dcbe,5476,1450,0,0,6000,12926
69,0x8a2a2ef12ba72be001d5f06992a9fb6e89647f32,11894,0,0,0,1000,12894
70,0xab9c2f0e78bcd1d9ac98367edfeb1532709ee16c,6288,150,0,396,6000,12834
71,0x11eb8c136cdc14ad1adcc24c463f18dd13a37447,5215,0,0,1600,6000,12815
72,0xc98b13345c6562b6790bb1abda331db437d1273f,5059,500,650,500,6000,12709
73,0xd595f140c2575d3e944332ea0b89f3ca08251704,5796,0,0,851,6000,12647
74,0x20de6eeb43ab26d39801d447d0a19bded9603f7c,4028,0,0,582,8000,12610
75,0x2bcfb8ca144290ec9051d7af922c9d74e74197da,6552,0,0,0,6000,12552
76,0x1f370f6c38a4888da33bb1d79e0fc01b3a51effb,5952,0,0,407,6000,12359
77,0x3c7522b1a0bd086f678b5de8aa7393336130d664,746,0,0,1466,10000,12212
78,0x36445ebc1b1f5c45fa7f5be69adcae1f7c6c31dd,1150,2550,0,400,8000,12100
79,0xbe782ec98ce7135a056e31300a9831fa35d52865,5171,500,0,200,6000,11871
80,0xb06fda87bde6fd294a1b51db1ef1474c2961e054,1261,0,0,500,10000,11761
81,0xacf4a8c1691c8c9b8f29e18746dc5e09c2d460aa,5691,0,0,0,6000,11691
82,0x3658a6713615cc4ea77409eacd6f098213d0cdbf,3000,0,0,600,8000,11600
83,0xf234622dc5bfe9639fe6c4a23cc16d399df4efd4,6734,0,0,622,4000,11356
84,0xdb4cbaa1186c69c0ac8311b25aa7dbca632da181,4778,1500,0,1063,4000,11341
85,0x9a93d7ddc0d8379c3c29eca87476a736b996d4b0,4771,0,0,545,6000,11316
86,0x0416071269eb7ca4055d53123e296d89fdf950a2,2682,0,0,600,8000,11282
87,0xdc0c0997c06cced62a416c6bab654fe306efc9fc,2086,0,0,1100,8000,11186
88,0xcf79e95e0e36c35cf206527815cc349a69f65e7e,6506,0,0,675,4000,11181
89,0xb5f1856fbbdd47e93efd14dab3d239558d915e5f,7169,300,0,3692,0,11161
90,0xef62dab1e70f596cd354289c5a9192038f938f6c,2654,0,0,400,8000,11054
91,0x498d742e6b94bb5215d5eea4b255b1649c26bec7,5830,800,0,400,4000,11030
92,0xd71a93f8cac73b80fc7753904bab97c21e694077,3781,2050,0,1000,4000,10831
93,0x6ac0e7cfa2d991dfc0e846616af8590cbe2f10cf,1745,0,0,6431,2500,10676
94,0x5f5df3da7e0e886fb99cd8cdd26e9c49b5cf168d,5748,0,601,313,4000,10662
95,0x366803790e0e92ba7b50fc7b93259c111a847f0e,1487,450,0,600,8000,10537
96,0xbda6a35390a38e0c87ababf55beaa2695b8df724,2124,0,0,400,8000,10524
97,0xc6d020de60083bfcbbf4f66e3dbf5e20c08f0e3e,265,0,0,250,10000,10515
98,0xf64d8ac3384838bb7280066ad5d5fab3c3ee3ec8,3893,0,0,2619,4000,10512
99,0x137a1770371d69f737250a466a16a6b88ec206f9,620,2850,0,945,6000,10415
100,0xab586a1762b7a89cd1498c4dd41caa56a2f211d7,4351,0,0,0,6000,10351
101,0xbb430f642ab027a895bb289744d9732ffacbca7a,6342,0,0,0,4000,10342
102,0xe7d6b9ca08557a1b2ee0d6c77add4013ac8c374d,6321,0,0,0,4000,10321
103,0x3178ef0bf0319ad5adf260b0e3b23bfe99fb3bbd,4933,1300,0,0,4000,10233
104,0x9137a5d195f0ab57e428c5a2be9bc8c4620445cb,3390,0,0,2827,4000,10217
105,0x3f9d51bf445ef9f14f4004359c08c9415dee8246,670,350,0,1040,8000,10060
106,0xa2f4dc54ed75bd7854d7e64762d84a55f0520767,1245,500,0,300,8000,10045
107,0x2273badf70bae89866f9a41ce5cd66a060dd17d4,1046,700,0,223,8000,9969
108,0x11451a88de6d618321cb568217badd8612e63ca3,7459,0,0,0,2500,9959
109,0x91a317f1f243da7624b2dc6e3c9cbc6216b976c5,2950,0,0,1000,6000,9950
110,0x4e7d7d43ca2ae5a1dd4d8aa4ae8421e0e218622e,5930,0,0,0,4000,9930
111,0x2b73188230e3c45fcf88ea621874776369bcc8d6,5913,0,0,0,4000,9913
112,0xd06fb7c7ac9c18a21e6cea7f442a297f9481c663,1111,0,0,2800,6000,9911
113,0xfa951187d3521e5dbe8d734d9416f965413a0929,5410,0,0,2000,2500,9910
114,0x7ffeddb3e3b6b87d6288a156650c12c231e5844c,3472,0,0,2312,4000,9784
115,0x364da6fc06c67b246086edd0ba5650f420fe10a3,5513,0,0,200,4000,9713
116,0xd214ba23a785294393da4f06d4f0a82676d4ae94,1096,0,0,575,8000,9671
117,0x379946aa9365245ec8ba525776bf66b5fdf5ee0d,3524,1400,0,697,4000,9621
118,0xeb07a7a5ec09d3c9b9acc2d5110c38d58771c104,1302,850,0,1367,6000,9519
119,0x7cd1bd94405334bd7f54c00595dff3fca0f54df4,5472,0,0,0,4000,9472
120,0x5c2c6035434b76abc131d04433380dd5381db9eb,989,0,0,400,8000,9389
121,0xbe6e84b1c09a92e3d2ad257c84d7783255a030e6,2208,600,0,500,6000,9308
122,0x071402f538721d473f56e77189b8c57ec8aba66e,2812,0,0,400,6000,9212
123,0xae74824e9171bdfdde0c2e3be72b77ae27a97255,3283,350,373,1172,4000,9178
124,0x3526568fb16bc29034cbf9f8def9af7ed743fce6,170,0,0,4960,4000,9130
125,0x5122a655b74796fae8f4a4376218e950e53f19cf,3843,1150,0,105,4000,9098
126,0xcb98bb290505feb876a6e9d1072c10413722e3c1,1445,0,0,1650,6000,9095
127,0x4d003a5728465ac4ab3048ef898cba221c80cc6b,7072,0,0,1000,1000,9072
128,0x4773eabc47aa6de55aa7b65d00441dda69d5b388,4205,0,0,800,4000,9005
129,0x4faabd6667e7be0bd64aff02a6717478ca10d8b5,1954,0,0,1000,6000,8954
130,0x3d8dc04e7dfc52028ffefb9417fafcd4e4ca0818,2042,0,0,900,6000,8942
131,0x7c818b5d1cf4fe56e77992f153702b92af6055b1,2612,0,0,300,6000,8912
132,0xe7cdf9238020bcf252f2454e074d260b857a0143,1902,0,0,1000,6000,8902
133,0x61eb9739dfd15df7623a492c9b8f822608483b3c,2878,0,0,0,6000,8878
134,0xaf6e50e52b9c89fdbb573cf2f048b40f881132d2,1968,0,0,900,6000,8868
135,0x3e901c4500d6aa4dbecaf3d889caa2904928b98d,705,1050,0,1056,6000,8811
136,0xff41ef0306ae45f4a83d3845601927a3e57b9f0e,7292,0,0,446,1000,8738
137,0xc054a025f7d824127e9a9bac03bad49035fcb726,382,0,0,320,8000,8702
138,0x98ed3de65a3eaa55dcba3a2e287695b0948092d4,6199,0,0,0,2500,8699
139,0xb1fa926e7b820ed08529f5f14853938523614236,1598,0,0,1064,6000,8662
140,0xf7174bd56541305b18222e88c1f3ab82776993a7,3432,300,0,900,4000,8632
141,0x59cb1cb5dbfcc4190005f38ae9665da4075c0660,4259,0,0,334,4000,8593
142,0xb2749573b742322c82b34640cf691d80acd1d070,582,0,0,0,8000,8582
143,0xd286fa37bc098fd46599c3ebbeb407ac60af047a,5451,0,0,580,2500,8531
144,0x690a2ba134d8d49e07ac5786d6dc02ca735a9633,1993,0,0,500,6000,8493
145,0x6eee18869e8562ad5a1ddbe076712c20b8dec21b,2175,0,0,300,6000,8475
146,0x2a80b1ba1bcae931cd1996313f9540cefb112051,1191,900,0,3842,2500,8433
147,0x103c152d58b8946c0b2ca7f3286e0e56c2f7a29c,220,0,0,200,8000,8420
148,0x677560d1eaa746ac5654680644829d35934585ad,3417,0,0,1000,4000,8417
149,0x2ccb1eeeef98fdacff2212211a3706bc2c973a09,404,0,0,0,8000,8404
150,0x3c044e3ea8201abd1ee887ae1cd9f0ee9e5e35f4,4032,0,0,340,4000,8372
151,0x779b00a7eb05a66e5db2371cf1b04586ac27bfcc,5851,0,0,0,2500,8351
152,0x4d808870f53a642d5489ed958a82ecd975e621e7,2938,1400,0,0,4000,8338
153,0x0eef71e4b5822f34455b5d5552a579d43ff2cef4,1619,0,0,712,6000,8331
154,0xe6d84cd11da92fb4cc37697386fa5d2d5bdbd4b1,2327,0,0,0,6000,8327
155,0xf390e6882d35b6068f40cd9335989b2b81179242,2208,0,0,110,6000,8318
156,0xee2672aeb588fba1fdc83cf7ad9ff68a473b1cbf,1988,0,0,319,6000,8307
157,0x84705de9c79c49c262817cf905c11d8c7f4ab3ef,278,0,0,0,8000,8278
158,0x382e3eeec3ed2880bcc77c0d7e2d172e01c18a35,5342,0,0,430,2500,8272
159,0x9e1e3857fb2484379858b9daf230379015a7a100,3700,0,0,534,4000,8234
160,0x39f7cc2c7a6f522308c8a75d038f4aa4d7abdd90,1165,0,0,1000,6000,8165
161,0xab194b7a7af12b174fe40d828a40ee5e6dd42418,118,0,0,0,8000,8118
162,0xad0867a794dce05fd8f4c97bcba80841d3be435d,43,0,0,0,8000,8043
163,0xd81de87e17035dae8fdd2e4e1285647a9c31c7c0,727,0,0,1265,6000,7992
164,0xf247b7f6bd43748f8665b9824911ce14799ea519,1855,0,0,0,6000,7855
165,0xf002995e32b71abc2cd90269a5a07150edb72628,5331,0,0,0,2500,7831
166,0xee74363938c9e3093d2de39b23e9744a74689b8b,3829,0,0,0,4000,7829
167,0xba0f9b5d9517d8564018430242413c6c504e94e6,1567,0,0,257,6000,7824
168,0x811affdae69818ca9da330db72165dcacf379088,4832,0,300,163,2500,7795
169,0x31a3056398b09176cdb85206277a4a72e1c7f656,2767,0,0,1000,4000,7767
170,0xa4bd67f6454bb7793b3bcea59e3094471242a307,1223,300,0,229,6000,7752
171,0xda90ae00b36f662ccd8ae1050257a727c67a5ae8,3433,0,0,300,4000,7733
172,0x279929c6633216aded13c8f6c723ba2d6788e156,1128,0,0,500,6000,7628
173,0x70ce3ef631ddd4bdecc55466895db803c3684bff,3369,0,0,250,4000,7619
174,0x745f74a7925d7638dabdea7d06bdeadad12f9a2f,1103,0,0,500,6000,7603
175,0x38ddedb2377c29e1ee3fffcc0efb6bf19bc9dc30,1567,0,0,0,6000,7567
176,0x6a3d22f0677b2333a86bfe96a9f3476466e25d8e,3000,0,0,500,4000,7500
177,0x68634371b197ecc675d0c99462d53c83aff6d15b,3491,0,0,0,4000,7491
178,0x3067990803977f63d7b294b0236eb20a2d0e2655,4343,0,0,600,2500,7443
179,0x647faa4da0e66f4e7bc81cb5043a8e6484d80481,2292,1100,0,0,4000,7392
180,0x15568fea297aa8f2ca1d8ac52798f90468159233,2408,850,0,105,4000,7363
181,0x7718cf2a04e0e7b2cf55ffd29491be7269ec13c0,3903,950,0,0,2500,7353
182,0x406ff6bb69259b4e840d1d00eeb6a8808abc001c,2167,50,0,1119,4000,7336
183,0x6e3ababec4158c3135b904a20f33160b520838f2,2042,900,0,371,4000,7313
184,0x95cbac20c014ac88f76ac8f4da943a53696ce40d,1971,0,0,1313,4000,7284
185,0x4bad621ad05b4afd22236dfd56c463a45c715866,770,900,0,3107,2500,7277
186,0x4b68b5a0cfc1fa1a85f6b3c0db33f546b6cad57c,6242,0,0,0,1000,7242
187,0xa9b1939dd4d20c057baf701885b1bf3c0c6d23ba,2777,0,0,400,4000,7177
188,0xdad19177128fc63b9de5aac7c9afb08ede8830dd,769,0,0,400,6000,7169
189,0xd00888bb26604f83bf9e9205a9cf8e74316e0238,2961,0,0,200,4000,7161
190,0x1be61d546fb4029c993648834db1f881463b4f05,546,0,0,556,6000,7102
191,0xb01e81b78667501e017f570270842ce53b854e3f,929,0,0,172,6000,7101
192,0x6a7944eb538643380b48fee0935d232d46c6b339,2865,0,0,225,4000,7090
193,0x067b7633fe9f6987ecaca2a4b50ea9a46bd4c885,2812,0,0,266,4000,7078
194,0x00ab6b4f02d4a04c753e2f3209717eb06900b72a,955,0,0,110,6000,7065
195,0xabb28af7a784175a76784375190360b30ff4a04f,4540,0,0,0,2500,7040
196,0x8d1dd9af5d4588b83b7a8997a5852f580861c23f,3021,0,0,0,4000,7021
197,0xf842105c186f75cc72205153d339baf172b103a4,2848,150,0,0,4000,6998
198,0x4d645615989e09f92779a6418fbd39b2e263aa19,2974,0,0,0,4000,6974
199,0xe560344f807a59740cd61617b4f19ffd36851bf4,1899,0,0,1000,4000,6899
200,0x11ac3cadeb7f58fee3cb072f002fbce4e5069137,759,0,0,3579,2500,6838
201,0x4934caa063e1ad1379db90fed945f88742fa1a40,403,100,0,300,6000,6803
202,0x45dd1514b3933cf78782cd2233d5127b4ef19388,582,0,0,200,6000,6782
203,0x4251aa321780e356e93577c4fa8c86a9838e15a7,0,750,0,0,6000,6750
204,0x7b1972add376d1455de293c816127015392f3093,6,0,500,6208,0,6714
205,0x39f2c6493b00514abeb237724c7f06f071659cfd,514,0,0,200,6000,6714
206,0x78c6dbf9d7f6c6643df17ea8c6338e71cb18a213,3306,250,0,624,2500,6680
207,0x5ce6aeb2b85e2f3ce2bf1fc15024f3dd121a81eb,2663,0,0,0,4000,6663
208,0xf0df547b76af0fef5f6959a96ec8a026132f236b,3996,150,0,0,2500,6646
209,0xcb0f7b4582b83a57581dbc04e3fab6461a96054c,558,0,0,0,6000,6558
210,0xb518c3e023424d2cb114b05de0829d86126e82d4,1753,800,0,0,4000,6553
211,0xe9d5962e3ae4278e6a3e6356e941e326f11cadd2,358,0,0,156,6000,6514
212,0xb7989e5211135a9f15f2352b499a07fb31d45804,2409,0,0,1604,2500,6513
213,0xc34f7c253047dc8708d275c0195f4f0923916981,4012,0,0,0,2500,6512
214,0x71ab15312fdb43957fc3a943417a493c8b735e66,225,100,0,127,6000,6452
215,0x1a195ee1bf51b7412dcfe853f5442171980b90f6,3941,0,0,0,2500,6441
216,0xe6c401884c19b689127c44660523a6f75e56585e,237,0,0,202,6000,6439
217,0xc51447ad3b831dfc5603b92bfa46a06637250851,3132,0,0,800,2500,6432
218,0xa750da0b3f05431ac22df2b01d2885f7b0cc24cf,819,0,0,1600,4000,6419
219,0xe3ae849dd7efe227454d46373bdfc7e539f6ee66,6366,0,0,0,0,6366
220,0xde43b9042f4d7d520625c9cc42e161c91d643de2,2241,0,0,120,4000,6361
221,0xf229e08dd118cb4b27315ec12fc2031a4dc05097,237,0,0,124,6000,6361
222,0x437dae9da9de16cfb3b43cc6b1531eee47152334,98,0,0,260,6000,6358
223,0x25d8c68bb4690541c4cf79d986964afb60bec708,2027,0,0,300,4000,6327
224,0x832cfa281b8424616c953aee5043e88a33a0a91a,2127,0,0,200,4000,6327
225,0xf670fdbdebb89c4bf9674907a6ff08d9e2c1d791,1819,0,0,502,4000,6321
226,0xa4754b4c6de2464683cf17fe57e8ed805ff32688,2276,0,0,0,4000,6276
227,0x7b07a89f72ebfe598b52f9ae34587bc15072267b,1971,0,0,300,4000,6271
228,0xed315382fd59b1688e4b3b99a367c5639b0acad8,2236,0,0,0,4000,6236
229,0x0abe3a138d48f7e01f96db55e297e3c75048757e,216,0,0,0,6000,6216
230,0x673a05fff17c27f0b88786ea34e7d2f46d125d39,1183,0,0,1028,4000,6211
231,0xf56219d01baa59fbf9756bda772e5a4fb833e4ce,194,0,0,0,6000,6194
232,0x55e72deb10dab4d4644f8a9283e05fb6f9d9c41d,5,0,3666,2516,0,6187
233,0xcba602278422c4138f13c4567a9ff021bcaadea3,185,0,0,0,6000,6185
234,0xf9d9ae3ac784e15eb03df21c078961d9256b7acd,175,0,0,0,6000,6175
235,0xb6e9f1391ef5314b7201f140e70404b62cf39436,164,0,0,0,6000,6164
236,0x184d6d596e2ba3ca1eb4bc7e552d670ce8feee76,2157,0,0,0,4000,6157
237,0x8e2f648437db509f5a62dc29d111b9fda4edd16d,128,0,0,0,6000,6128
238,0x19ba47e96f888b9457a14da2db3a8a705ed10297,17,0,0,103,6000,6120
239,0x0dfee9cdd62c9ee8679fb41c6fca2c029cafac6d,109,0,0,0,6000,6109
240,0x8384d93922c9d9f512ac9d7837f6ebeb5821cbd5,0,100,0,0,6000,6100
241,0x67a0f1a33387d614aba663d303f860d1c5275b39,1586,0,0,500,4000,6086
242,0x7d8d05f8c45699bb979ada66338db16408ece508,82,0,0,0,6000,6082
243,0x67dde272d06b358cc13e8301186d4c982e8b3340,62,0,0,0,6000,6062
244,0x8ca9d80147ca77766982c9be22c15aad44f0371c,33,0,0,0,6000,6033
245,0xe0bd9836393b6a708f6b8e94380f6cc2ebe7f9f2,22,0,0,0,6000,6022
246,0xdf0070360de87de59398ec640175374de330a0d8,1821,800,0,900,2500,6021
247,0xb2fddb2027d163a9a5f81784d94c1b632830c605,20,0,0,0,6000,6020
248,0xbf12f2ffa4b20b74d1a9921c821b8934c376213a,13,0,0,0,6000,6013
249,0xa9b0d33b855cfc1adb1a058ae7b54eb9ec4dca5a,3256,0,0,215,2500,5971
250,0xdeadb83527823002f3e6128735576529553a1266,1956,0,0,0,4000,5956
251,0xb199180a3dcb18d850158a1f1dd162f470d47824,1544,0,0,400,4000,5944
252,0x03092777db2eed0d4ab4f1ecc3aabe698790f79b,1941,0,0,0,4000,5941
253,0x215836b739fea38b5b982cba6087f11c763f5d1c,1930,0,0,0,4000,5930
254,0x8cc75535962fbe084ffb2bfb57ac360320e082cc,1324,0,0,600,4000,5924
255,0xfeec85c46f99a9722636044d5ea0b5dfdd5c5cd7,2860,0,0,500,2500,5860
256,0xaae499f60abc75b49c7f0113439c5da4319fabc3,1784,0,0,0,4000,5784
257,0x5b5fb5639ee079fc1992c4f2898b3eb653ccfe20,1875,1150,0,227,2500,5752
258,0x77a85fb4823344553b9906dd4b5505c5e50d9969,3171,0,0,0,2500,5671
259,0x888028322b5473b4c2ea70cb89e26c1d83be7f3e,1573,600,600,1885,1000,5658
260,0x412d4613b8cb83f78de1e4f1308bf606b3f758b7,2963,0,0,175,2500,5638
261,0x51aa8786569f3a628e6968520dde5dcc47248963,1396,0,0,223,4000,5619
262,0x98d6a93fcfe05b72f1233b8f1d809637e42dfa65,1097,0,0,499,4000,5596
263,0x6ea68f8c8959d2b61f499b044a4871c4d7df0b0f,512,900,0,160,4000,5572
264,0xf87cbde3cd8baf0e3ade7b824bd0abd878aea16b,2749,0,0,300,2500,5549
265,0xb7e66155379a4fc882d066e3e512db8bf43e1979,1546,0,0,0,4000,5546
266,0xcd62d9c117f7068150810dd97c6d11c5251a8d01,1335,0,0,184,4000,5519
267,0x96f47cbb5fb486248447f4195490bbe27d865cf2,4294,0,0,200,1000,5494
268,0xc3a649c987f45e1524c9e01420b3ae7e513c019a,868,0,0,591,4000,5459
269,0x959de51d293aa775cfad14976148bd6c9fff47ea,829,0,0,627,4000,5456
270,0xb70f05c4e9c5b438917bd8ac8825de51cfa6a207,1434,0,0,0,4000,5434
271,0x28a520f2049f65166e6bb21571513429841b3914,2912,0,0,0,2500,5412
272,0x28cfa12606ca4f37af1c8700b7b3918a361205b9,991,100,0,305,4000,5396
273,0x7704cfa2f3df27a21c7a60fd2eb70fb9c81ff76d,1381,0,0,0,4000,5381
274,0x4f5be5965b760891523246a668cf86fd3648d19c,1167,0,0,200,4000,5367
275,0x7ff0b812964dee4b3065d51650fdd57dbd65d092,135,700,0,510,4000,5345
276,0x62ce5c4e0c7b09da57c8dde98b405401d2422c02,894,400,0,0,4000,5294
277,0xcd2e60153e8aef537fbd78a4d351aac3f16b63bd,936,200,140,0,4000,5276
278,0x6b1aac888aa5a26f69e110960c5fb1e09d4e0d2b,1126,100,0,0,4000,5226
279,0x8a9992acec31760d4fd5e35b01271326a671d6b9,1000,0,0,200,4000,5200
280,0x5c991742eba528834f2a4776fc69dc6e7232e5f0,1989,0,200,500,2500,5189
281,0xf390755b40535e2f08059ef571b301bcdcc0907c,4166,0,0,0,1000,5166
282,0xa8637069de6f667158fa2ac41a6d12feac9c9d5c,981,0,0,173,4000,5154
283,0x13e9363758de918ee531482a7b19e615aeede423,2518,1150,0,475,1000,5143
284,0x2be70b7789c51979e98112b32a554b93a213dbe4,1857,400,0,350,2500,5107
285,0xf5569ef6d42e44d5e8f02e893a931600c418ac7a,505,0,0,600,4000,5105
286,0x8e75e8ecd2b383d357877e5fb21c20db5cddd6b8,1093,0,0,0,4000,5093
287,0x758387a5dbd9d7ad61937b1abfb43e1ff2400332,637,0,0,450,4000,5087
288,0xea9955efcacd10a2ae72287a959c53cc311dbd8a,448,300,0,337,4000,5085
289,0xa876f7d1b5c29cc8a86674987e80505e9de3d29f,2393,900,0,790,1000,5083
290,0xd1333b41d5851eb2c229ee3acf8b3afea2c6a486,2581,0,0,0,2500,5081
291,0x8e0535e9d69feab9a5403bc827084abfc9304ab0,2572,0,0,0,2500,5072
292,0x9a88e2361db0db4b2d81fb3b8da3f9e383fb8a5c,4040,0,0,0,1000,5040
293,0xa67a51059127db067961c52b2141ae9ed3022c5b,989,0,0,0,4000,4989
294,0x7055e75dfdb8b22a2542f609ec2eae0a53374867,251,400,0,287,4000,4938
295,0x725865e744b6269dc31f2f8550b6b644c20fd1d8,350,0,0,575,4000,4925
296,0xa9d0e9bb98ac9c0f9fc41df7e270b3e0750e1278,4910,0,0,0,0,4910
297,0x9cba57def0b8d2f2b356582178e09043ae3e631b,693,0,0,212,4000,4905
298,0x3dfd5564566e20f36338a530d1426e47298e8091,1772,50,0,546,2500,4868
299,0xd9d9c43ae86e3cb518a705f39571940f816caea5,444,0,0,392,4000,4836
300,0x1f571b695eec7d01277f743487264060ca16653c,3835,0,0,0,1000,4835
