ID,Entity-Name,Size,# Tiles,Zone,Score,Score/Tile,Weight,# Variations,Filename,Residential Boost,Commercial Boost,Industrial Boost,Hood Boost
88,Meat-Roverse,1x1,1,industrial,7.50,8,76,1,factory-mid-4.png,,,,
89,D. W. Mifflin Paper Co.,2x1,2,industrial,10.00,5,80,1,factory-large-1.png,,,,
90,Ampz & Ohmz,2x1,2,industrial,10.50,5,78,1,factory-large-2.png,,,,
91,Chill Pills,2x1,2,industrial,11.00,6,76,1,factory-large-3.png,,,,
92,MOO!,2x1,2,industrial,11.50,6,74,1,factory-large-4.png,,,,
93,Metromobile,2x1,2,industrial,12.00,6,72,1,factory-xlarge-1.png,,,,
94,MeTexMill,2x1,2,industrial,12.50,6,70,1,factory-xlarge-2.png,,,,
95,Hullfire Premium Boats,2x1,2,industrial,13.00,7,68,1,factory-ularge-1.png,,,,
96,Stand Steel,2x1,2,industrial,13.50,7,66,1,factory-ularge-2.png,,,,
97,Electronic Waste,1x1,1,industrial,4.00,4,100,1,warehouse-xsmall-1.png,,,,
98,Hunting Equipment Wholesale,1x1,1,industrial,4.50,5,95,1,warehouse-xsmall-2.png,,,,
99,Mining and Trading Machines,1x1,1,industrial,5.00,5,90,1,warehouse-small-1.png,,,,
100,Prehistoric Fossils Warehouse,1x1,1,industrial,5.50,6,85,1,warehouse-small-2.png,,,,
101,Aquarium Wholesaler,1x1,1,industrial,6.00,6,80,1,warehouse-mid-1.png,,,,
102,Virtual Reality Experience,1x1,1,industrial,6.50,7,75,1,warehouse-mid-2.png,,,,
103,Luxury Goods Warehouse,2x1,2,industrial,10.00,5,80,1,warehouse-large-1.png,,,,
104,Portals ,2x1,2,industrial,11.00,6,80,1,warehouse-large-2.png,,,,
105,Met-Bar Vault,2x1,2,industrial,12.00,6,75,1,warehouse-xlarge-2.png,,,,
106,Awesome Looking Armor,2x1,2,industrial,13.00,7,72,1,warehouse-xlarge-1.png,,,,
107,Biological Experiments,2x1,2,industrial,14.00,7,70,1,warehouse-ularge-1.png,,,,
108,Spaceships Maker,2x1,2,industrial,15.00,8,68,1,warehouse-ularge-2.png,,,,
109,MetroMaker Towers Small,1x1,1,industrial,12.00,12,40,1,ibuilding-floors-8-1.png,,,,
110,Industrial Center Small,1x1,1,industrial,12.00,12,40,1,ibuilding-floors-8-2.png,,,,
111,Metro Industrial Small,1x1,1,industrial,12.00,12,40,1,ibuilding-floors-8-3.png,,,,
112,MetroMaker Towers Medium,1x1,1,industrial,18.00,18,30,1,ibuilding-floors-12-1.png,,,,
113,Industrial Center Medium,1x1,1,industrial,18.00,18,30,1,ibuilding-floors-12-2.png,,,,
114,Metro Industrial Medium,1x1,1,industrial,18.00,18,30,1,ibuilding-floors-12-3.png,,,,
115,MetroMaker Towers Tall,1x1,1,industrial,24.00,24,20,1,ibuilding-floors-16-1.png,,,,
116,Industrial Center Tall,1x1,1,industrial,24.00,24,20,1,ibuilding-floors-16-2.png,,,,
117,Metro Industrial Tall,1x1,1,industrial,24.00,24,20,1,ibuilding-floors-16-3.png,,,,
118,Solar Farm,2x2,4,industrial,32.00,8,30,1,solar-power-plant-1.png,,,,Power
119,Wind Farm,2x2,4,industrial,24.00,6,35,1,wind-power-plant-1.png,,,,Power
120,Nuclear Power Plant,2x2,4,industrial,36.00,9,25,1,nuclear-power-plant-1.png,,,,Power
121,Rocket Launch Site,2x2,4,industrial,42.00,11,20,1,rocket-launch-site-1.png,,,,Tech
122,Crypto Mining Facility,2x2,4,industrial,36.00,9,30,1,crypto-mining-facility-1.png,,,,Tech
123,Grain Silo,2x1,2,industrial,20.00,10,60,1,grain-silo-1.png,,,,
124,UnbelieVALTable,2x1,2,industrial,32.00,16,30,1,electric-battery-1.png,,,,Tech
125,Small Park,1x1,1,public,0.00,0,100,1,park-small-1.png,3%,3%,,
126,Large Park,2x1,2,public,0.00,0,90,1,park-large-1.png,4%,4%,,
127,Bus Stop,1x1,1,public,0.00,0,100,1,bus-stop-1.png,3%,3%,3%,Transport
128,Subway Station,1x1,1,public,0.00,0,90,1,subway-station-1.png,4%,4%,4%,Transport
129,Metaxi Station,2x1,2,public,0.00,0,50,1,taxi-station-1.png,4%,4%,4%,Transport
130,Metro Bank,2x1,2,public,0.00,0,50,1,bank-1.png,4%,4%,4%,
131,Hospital,2x1,2,public,0.00,0,30,1,hospital-1.png,5%,5%,5%,Safety
132,Fire Station,2x1,2,public,0.00,0,30,1,fire-station-1.png,5%,5%,5%,Safety
133,Police Station,1x2,2,public,0.00,0,30,1,police-station-1.png,5%,5%,5%,Safety
134,School,2x1,2,public,0.00,0,60,1,school-1.png,4%,,,Education
135,Library,2x1,2,public,0.00,0,50,1,library-1.png,6%,,,
136,University,2x2,4,public,0.00,0,30,1,university-1.png,6%,6%,4%,Education
137,ETHRASH,2x1,2,public,0.00,0,20,1,waste-dump-1.png,-3%,-3%,6%,Odds
138,Town Hall,2x2,4,public,0.00,0,20,1,town-hall-1.png,6%,6%,6%,Education
139,Wildlife Waystation,2x2,4,public,0.00,0,20,1,zoo-1.png,6%,5%,,Entertainment
140,Metroverse Museum,2x2,4,public,0.00,0,20,1,museum-1.png,6%,5%,,Cultural
141,Sewage Treatment,2x1,2,public,0.00,0,10,1,sewage-treatment-1.png,-3%,-3%,6%,Odds
142,Cemetery,2x1,3,public,0.00,0,10,1,cemetery-1.png,6%,4%,4%,Odds
143,Army Base,2x2,4,public,0.00,0,10,1,army-base-1.png,-3%,-3%,6%,
144,street-h,1x1,1,pathway-h,0.00,0,0,14,street-h-n.png,,,,
158,street-v,1x1,1,pathway-v,0.00,0,0,14,street-v-n.png,,,,
172,rail-h,1x1,1,pathway-h,0.00,0,0,12,rail-h-n.png,,,,
184,rail-v,1x1,1,pathway-v,0.00,0,0,18,rail-v-n.png,,,,
202,river-h,1x1,1,pathway-h,0.00,0,0,5,river-h-n.png,,,,
207,river-v,1x1,1,pathway-v,0.00,0,0,5,river-v-n.png,,,,
212,street-x-street,1x1,1,pathway-x,0.00,0,0,1,street-x-street-1.png,,,,
213,street-x-rail,1x1,1,pathway-x,0.00,0,0,1,street-x-rail-1.png,,,,
214,street-x-river,1x1,1,pathway-x,0.00,0,0,1,street-x-river-1.png,,,,
215,rail-x-street,1x1,1,pathway-x,0.00,0,0,1,rail-x-street-1.png,,,,
216,rail-x-rail,1x1,1,pathway-x,0.00,0,0,1,rail-x-rail-1.png,,,,Rail
217,rail-x-river,1x1,1,pathway-x,0.00,0,0,1,rail-x-river-1.png,,,,
218,river-x-street,1x1,1,pathway-x,0.00,0,0,1,river-x-street-1.png,,,,
219,river-x-rail,1x1,1,pathway-x,0.00,0,0,1,river-x-rail-1.png,,,,
220,river-x-river,1x1,1,pathway-x,0.00,0,0,1,river-x-river-1.png,,,,River
